id;user_id;period_start;chat_messages_used;routine_optimizations_used;product_comparisons_used;pdf_exports_used;created_at;updated_at
c5264a61-c8a0-4f9f-90f7-a34d8a270c77;4efb5df3-ce0a-40f6-ae13-6defa1610d3a;2025-12-01 00:00:00+00;0;1;0;0;2025-12-09 19:59:26.077894+00;2025-12-12 19:45:29.913231+00
c54aa2f9-3ac2-4593-8750-fef8f9428cee;80c09810-7a89-4c4f-abc5-8f59036cd080;2025-12-01 00:00:00+00;0;0;0;0;2025-12-31 20:59:49.493526+00;2025-12-31 20:59:49.493526+00
29af0f3c-66fa-4121-8758-fbd38d5cf14c;890229b4-8fba-4521-9989-5483dcee62f7;2026-01-01 00:00:00+00;0;0;0;0;2026-01-05 23:20:26.081324+00;2026-01-05 23:20:26.081324+00
c757c3dd-cd61-4966-a020-ed9e49dbf621;f8330e90-48bb-431e-b64e-b71866305698;2026-01-01 00:00:00+00;0;0;0;0;2026-01-07 04:26:57.704877+00;2026-01-07 04:26:57.704877+00
a63b858c-7307-457a-be13-ac286336fac3;64132369-513f-4bd4-982c-e9c31c5a01d9;2026-01-01 00:00:00+00;0;0;0;0;2026-01-23 00:28:29.766005+00;2026-01-23 00:28:29.766005+00
102ce2e8-fb63-417c-af02-393a07042122;b9eb3aa9-49e2-4e70-92ea-a23d35de53f5;2026-01-01 00:00:00+00;0;0;0;0;2026-01-27 23:04:08.323193+00;2026-01-27 23:04:08.323193+00
eb7b9421-e518-4f0e-b2a0-f2def0f454c9;80c09810-7a89-4c4f-abc5-8f59036cd080;2026-01-01 00:00:00+00;2;3;0;0;2026-01-07 13:46:51.483011+00;2026-01-30 18:31:15.59674+00
9cb594b7-33e8-4e79-addd-cb2432d44637;2a492020-7e11-4bf2-a028-590b07538859;2026-01-01 00:00:00+00;0;1;0;0;2026-01-12 16:40:02.339767+00;2026-01-30 18:57:23.742435+00
7e1ddbd3-0d52-43a6-8bc8-70d2ccad850c;4efb5df3-ce0a-40f6-ae13-6defa1610d3a;2026-01-01 00:00:00+00;6;3;0;0;2026-01-05 17:43:21.508173+00;2026-01-30 21:40:39.788677+00
a4c22a97-11e8-445c-b042-d73c2d44610a;2a492020-7e11-4bf2-a028-590b07538859;2026-02-01 00:00:00+00;0;0;0;0;2026-02-01 00:49:27.967652+00;2026-02-01 00:49:27.967652+00
356f2be0-4d00-4405-ae73-0527d7308108;80c09810-7a89-4c4f-abc5-8f59036cd080;2026-02-01 00:00:00+00;0;0;0;0;2026-02-01 11:35:14.194342+00;2026-02-01 11:35:14.194342+00
820e6502-f021-4df9-ba23-7ba003aa4417;cb4efe71-632f-4f0c-831e-96e9b12a708e;2026-02-01 00:00:00+00;1;1;0;0;2026-02-01 15:07:15.190234+00;2026-02-01 15:16:47.966566+00
8c656dda-d4b7-45f5-a61f-1cb602daf544;4efb5df3-ce0a-40f6-ae13-6defa1610d3a;2026-02-01 00:00:00+00;0;0;0;0;2026-02-01 19:38:33.172769+00;2026-02-01 19:38:33.172769+00
239d21c7-2509-4449-83aa-dfa0fd14daab;8963c7a4-a1bb-4f04-8145-84654e63bc84;2026-02-01 00:00:00+00;0;0;0;0;2026-02-18 14:37:09.207238+00;2026-02-18 14:37:09.207238+00